Instance_Name,API_Name,vCPU,Memory,Instance_Family,Network_Performance,On_Demand_Cost,Reserved_1Year_Cost,Reserved_3Year_Cost,Spot_Min_Cost,Spot_Max_Cost,Storage,Architecture,Cloud_Provider
M6A 24xlarge,m6a.24xlarge,96 vCPUs,384.0 GiB,M6A,37.5 Gigabit,$4.1472 hourly,$2.74337 hourly,$2.74337 hourly,$1.730300 hourly,$2.253000 hourly,EBS only,64-bit,AWS
M5DN Extra Large,m5dn.xlarge,4 vCPUs,16.0 GiB,M5DN,Up to 25 Gigabit,$0.272 hourly,$0.171 hourly,$0.171 hourly,$0.071500 hourly,$0.207800 hourly,150 GB                 NVMe SSD,64-bit,AWS
C6A Eight Extra Large,c6a.8xlarge,32 vCPUs,64.0 GiB,C6A,12.5 Gigabit,$1.224 hourly,$0.80968 hourly,$0.80968 hourly,$0.544100 hourly,$0.544100 hourly,EBS only,64-bit,AWS
G5 Graphics and Machine Learning GPU 16xlarge,g5.16xlarge,64 vCPUs,256.0 GiB,G5,25 Gigabit,$4.096 hourly,$2.58048 hourly,$2.58048 hourly,$1.228800 hourly,$1.316600 hourly,1900 GB                 NVMe SSD,64-bit,AWS
R5AD 16xlarge,r5ad.16xlarge,64 vCPUs,512.0 GiB,R5AD,12 Gigabit,$4.192 hourly,$2.641 hourly,$2.641 hourly,$1.140000 hourly,$1.796200 hourly,2400 GB                 (4 * 600 GB NVMe SSD),64-bit,AWS
M5A Double Extra Large,m5a.2xlarge,8 vCPUs,32.0 GiB,M5A,Up to 10 Gigabit,$0.344 hourly,$0.217 hourly,$0.217 hourly,$0.174100 hourly,$0.225000 hourly,EBS only,64-bit,AWS
M5N Metal,m5n.metal,96 vCPUs,384.0 GiB,M5N,100 Gigabit,$5.712 hourly,$3.599 hourly,$3.599 hourly,$1.706100 hourly,$5.712000 hourly,EBS only,64-bit,AWS
M5AD Double Extra Large,m5ad.2xlarge,8 vCPUs,32.0 GiB,M5AD,Up to 10 Gigabit,$0.412 hourly,$0.26 hourly,$0.26 hourly,$0.216200 hourly,$0.306100 hourly,300 GB                 NVMe SSD,64-bit,AWS
R5B Extra Large,r5b.xlarge,4 vCPUs,32.0 GiB,R5B,Up to 10 Gigabit,$0.298 hourly,$0.18774 hourly,$0.18774 hourly,$0.071300 hourly,$0.106400 hourly,EBS only,64-bit,AWS
R5N 12xlarge,r5n.12xlarge,48 vCPUs,384.0 GiB,R5N,50 Gigabit,$3.576 hourly,$2.253 hourly,$2.253 hourly,$1.529600 hourly,$2.182800 hourly,EBS only,64-bit,AWS
I2 Double Extra Large,i2.2xlarge,8 vCPUs,61.0 GiB,I2,High,$1.705 hourly,$0.848 hourly,$0.848 hourly,$0.511500 hourly,$0.511500 hourly,1600 GB                 (2 * 800 GB SSD),64-bit,AWS
R5AD Extra Large,r5ad.xlarge,4 vCPUs,32.0 GiB,R5AD,Up to 10 Gigabit,$0.262 hourly,$0.165 hourly,$0.165 hourly,$0.072000 hourly,$0.079000 hourly,150 GB                 NVMe SSD,64-bit,AWS
G3S Extra Large,g3s.xlarge,4 vCPUs,30.5 GiB,G3S,Up to 10 Gigabit,$0.75 hourly,$0.551 hourly,$0.551 hourly,$0.225000 hourly,$0.225000 hourly,EBS only,64-bit,AWS
R5N Extra Large,r5n.xlarge,4 vCPUs,32.0 GiB,R5N,Up to 25 Gigabit,$0.298 hourly,$0.188 hourly,$0.188 hourly,$0.078800 hourly,$0.112400 hourly,EBS only,64-bit,AWS
C5AD Extra Large,c5ad.xlarge,4 vCPUs,8.0 GiB,C5AD,Up to 10 Gigabit,$0.172 hourly,$0.108 hourly,$0.108 hourly,$0.065200 hourly,$0.080100 hourly,150 GB                 NVMe SSD,64-bit,AWS
R5DN Extra Large,r5dn.xlarge,4 vCPUs,32.0 GiB,R5DN,Up to 25 Gigabit,$0.334 hourly,$0.21 hourly,$0.21 hourly,$0.071300 hourly,$0.099900 hourly,150 GB                 NVMe SSD,64-bit,AWS
C6A Quadruple Extra Large,c6a.4xlarge,16 vCPUs,32.0 GiB,C6A,Up to 12.5 Gigabit,$0.612 hourly,$0.40484 hourly,$0.40484 hourly,$0.272100 hourly,$0.272100 hourly,EBS only,64-bit,AWS
IS4GEN Eight Extra Large,is4gen.8xlarge,32 vCPUs,192.0 GiB,IS4GEN,50 Gigabit,$4.6104 hourly,$3.14446 hourly,$3.14446 hourly,$1.383100 hourly,$1.383100 hourly,30000 GB                 (4 * 7500 GB NVMe SSD),64-bit,AWS
I2 Extra Large,i2.xlarge,4 vCPUs,30.5 GiB,I2,Moderate,$0.853 hourly,$0.424 hourly,$0.424 hourly,$0.255900 hourly,$0.273900 hourly,800 GB                 SSD,64-bit,AWS
M5N 16xlarge,m5n.16xlarge,64 vCPUs,256.0 GiB,M5N,75 Gigabit,$3.808 hourly,$2.399 hourly,$2.399 hourly,$2.061600 hourly,$3.117100 hourly,EBS only,64-bit,AWS
T2 Micro,t2.micro,1 vCPUs                                                         for a                   2h 24m                   burst,1.0 GiB,T2,Low to Moderate,$0.0116 hourly,$0.0072 hourly,$0.0072 hourly,$0.003500 hourly,$0.003500 hourly,EBS only,32/64-bit,AWS
G5 Graphics and Machine Learning GPU 24xlarge,g5.24xlarge,96 vCPUs,384.0 GiB,G5,50 Gigabit,$8.144 hourly,$5.13072 hourly,$5.13072 hourly,$2.664600 hourly,$2.702200 hourly,3800 GB                 NVMe SSD,64-bit,AWS
INF1 Extra Large,inf1.xlarge,4 vCPUs,8.0 GiB,INF1,Up to 25 Gigabit,$0.228 hourly,$0.144 hourly,$0.144 hourly,$0.068400 hourly,$0.068400 hourly,EBS only,64-bit,AWS
R6GD 16xlarge,r6gd.16xlarge,64 vCPUs,512.0 GiB,R6GD,25 Gigabit,$3.6864 hourly,$2.3224 hourly,$2.3224 hourly,$1.197000 hourly,$1.214600 hourly,3800 GB                 (2 * 1900 GB NVMe SSD),64-bit,AWS
R5N 24xlarge,r5n.24xlarge,96 vCPUs,768.0 GiB,R5N,100 Gigabit,$7.152 hourly,$4.506 hourly,$4.506 hourly,$1.944700 hourly,$4.265900 hourly,EBS only,64-bit,AWS
R5DN Metal,r5dn.metal,96 vCPUs,768.0 GiB,R5DN,100 Gigabit,$8.016 hourly,$5.05 hourly,$5.05 hourly,$8.016000 hourly,$8.016000 hourly,3600 GB                 (4 * 900 GB NVMe SSD),64-bit,AWS
I2 Eight Extra Large,i2.8xlarge,32 vCPUs,244.0 GiB,I2,10 Gigabit,$6.82 hourly,$3.392 hourly,$3.392 hourly,$2.046000 hourly,$6.820000 hourly,6400 GB                 (8 * 800 GB SSD),64-bit,AWS
R5DN Eight Extra Large,r5dn.8xlarge,32 vCPUs,256.0 GiB,R5DN,25 Gigabit,$2.672 hourly,$1.683 hourly,$1.683 hourly,$0.621600 hourly,$2.051200 hourly,1200 GB                 (2 * 600 GB NVMe SSD),64-bit,AWS
R5A Eight Extra Large,r5a.8xlarge,32 vCPUs,256.0 GiB,R5A,Up to 10 Gigabit,$1.808 hourly,$1.139 hourly,$1.139 hourly,$0.611300 hourly,$0.713600 hourly,EBS only,64-bit,AWS
M6A Quadruple Extra Large,m6a.4xlarge,16 vCPUs,64.0 GiB,M6A,Up to 12.5 Gigabit,$0.6912 hourly,$0.45723 hourly,$0.45723 hourly,$0.293600 hourly,$0.431200 hourly,EBS only,64-bit,AWS
R6G Medium,r6g.medium,1 vCPUs,8.0 GiB,R6G,Up to 10 Gigabit,$0.0504 hourly,$0.0318 hourly,$0.0318 hourly,$0.018700 hourly,$0.018700 hourly,EBS only,64-bit,AWS
R6G 12xlarge,r6g.12xlarge,48 vCPUs,384.0 GiB,R6G,20 Gigabit,$2.4192 hourly,$1.5241 hourly,$1.5241 hourly,$0.897800 hourly,$0.971800 hourly,EBS only,64-bit,AWS
A1 Metal,a1.metal,16 vCPUs,32.0 GiB,A1,Up to 10 Gigabit,$0.408 hourly,$0.257 hourly,$0.257 hourly,$0.134300 hourly,$0.134300 hourly,EBS only,64-bit,AWS
T4G Micro,t4g.micro,2 vCPUs                                                         for a                   2h 24m                   burst,1.0 GiB,T4G,Up to 5 Gigabit,$0.0084 hourly,$0.0053 hourly,$0.0053 hourly,$0.002500 hourly,$0.002500 hourly,EBS only,64-bit,AWS
R5B Large,r5b.large,2 vCPUs,16.0 GiB,R5B,Up to 10 Gigabit,$0.149 hourly,$0.09387 hourly,$0.09387 hourly,$0.035600 hourly,$0.035600 hourly,EBS only,64-bit,AWS
M5A Extra Large,m5a.xlarge,4 vCPUs,16.0 GiB,M5A,Up to 10 Gigabit,$0.172 hourly,$0.108 hourly,$0.108 hourly,$0.080900 hourly,$0.100500 hourly,EBS only,64-bit,AWS
C6GN Eight Extra Large,c6gn.8xlarge,32 vCPUs,64.0 GiB,C6GN,50 Gigabit,$1.3824 hourly,$0.87251 hourly,$0.87251 hourly,$0.544100 hourly,$0.544100 hourly,EBS only,64-bit,AWS
M5N 24xlarge,m5n.24xlarge,96 vCPUs,384.0 GiB,M5N,100 Gigabit,$5.712 hourly,$3.599 hourly,$3.599 hourly,$1.986800 hourly,$3.667500 hourly,EBS only,64-bit,AWS
C6G Double Extra Large,c6g.2xlarge,8 vCPUs,16.0 GiB,C6G,Up to 10 Gigabit,$0.272 hourly,$0.1714 hourly,$0.1714 hourly,$0.136000 hourly,$0.148000 hourly,EBS only,64-bit,AWS
T2 Double Extra Large,t2.2xlarge,8 vCPUs                                                         for a                   4h 4.8m                   burst,32.0 GiB,T2,Moderate,$0.3712 hourly,$0.23 hourly,$0.23 hourly,$0.111400 hourly,$0.131200 hourly,EBS only,64-bit,AWS
R5B 16xlarge,r5b.16xlarge,64 vCPUs,512.0 GiB,R5B,20 Gigabit,$4.768 hourly,$3.00384 hourly,$3.00384 hourly,$1.213200 hourly,$2.981000 hourly,EBS only,64-bit,AWS
T2 Large,t2.large,2 vCPUs                                                         for a                   7h 12m                   burst,8.0 GiB,T2,Low to Moderate,$0.0928 hourly,$0.0575 hourly,$0.0575 hourly,$0.027800 hourly,$0.033300 hourly,EBS only,64-bit,AWS
C3 High-CPU Quadruple Extra Large,c3.4xlarge,16 vCPUs,30.0 GiB,C3,High,$0.84 hourly,$0.584 hourly,$0.584 hourly,$0.235000 hourly,$0.335000 hourly,320 GB                 (2 * 160 GB SSD),64-bit,AWS
M5A 16xlarge,m5a.16xlarge,64 vCPUs,256.0 GiB,M5A,12 Gigabit,$2.752 hourly,$1.734 hourly,$1.734 hourly,$1.096900 hourly,$1.426000 hourly,EBS only,64-bit,AWS
R5A Large,r5a.large,2 vCPUs,16.0 GiB,R5A,Up to 10 Gigabit,$0.113 hourly,$0.071 hourly,$0.071 hourly,$0.040700 hourly,$0.049900 hourly,EBS only,64-bit,AWS
C3 High-CPU Large,c3.large,2 vCPUs,3.75 GiB,C3,Moderate,$0.105 hourly,$0.073 hourly,$0.073 hourly,$0.029400 hourly,$0.034800 hourly,32 GB                 (2 * 16 GB SSD),32/64-bit,AWS
C6A 48xlarge,c6a.48xlarge,192 vCPUs,384.0 GiB,C6A,50 Gigabit,$7.344 hourly,$4.85806 hourly,$4.85806 hourly,$3.264600 hourly,$3.264600 hourly,EBS only,64-bit,AWS
C6GD Medium,c6gd.medium,1 vCPUs,2.0 GiB,C6GD,Up to 10 Gigabit,$0.0384 hourly,$0.0242 hourly,$0.0242 hourly,$0.017000 hourly,$0.017000 hourly,59 GB                 NVMe SSD,64-bit,AWS
INF1 24xlarge,inf1.24xlarge,96 vCPUs,192.0 GiB,INF1,100 Gigabit,$4.721 hourly,$2.974 hourly,$2.974 hourly,$1.416300 hourly,$1.416300 hourly,EBS only,64-bit,AWS
R5A 24xlarge,r5a.24xlarge,96 vCPUs,768.0 GiB,R5A,20 Gigabit,$5.424 hourly,$3.417 hourly,$3.417 hourly,$1.710000 hourly,$1.995500 hourly,EBS only,64-bit,AWS
A1 Double Extra Large,a1.2xlarge,8 vCPUs,16.0 GiB,A1,Up to 10 Gigabit,$0.204 hourly,$0.1285 hourly,$0.1285 hourly,$0.067100 hourly,$0.068100 hourly,EBS only,64-bit,AWS
M5AD Extra Large,m5ad.xlarge,4 vCPUs,16.0 GiB,M5AD,Up to 10 Gigabit,$0.206 hourly,$0.13 hourly,$0.13 hourly,$0.079100 hourly,$0.141100 hourly,150 GB                 NVMe SSD,64-bit,AWS
C6GD Metal,c6gd.metal,64 vCPUs,128.0 GiB,C6GD,25 Gigabit,$2.4576 hourly,$1.5483 hourly,$1.5483 hourly,$1.088200 hourly,$1.088200 hourly,3800 GB                 (2 * 1900 GB NVMe SSD),64-bit,AWS
M6A Extra Large,m6a.xlarge,4 vCPUs,16.0 GiB,M6A,Up to 12.5 Gigabit,$0.1728 hourly,$0.11431 hourly,$0.11431 hourly,$0.071400 hourly,$0.091400 hourly,EBS only,64-bit,AWS
M5DN 24xlarge,m5dn.24xlarge,96 vCPUs,384.0 GiB,M5DN,100 Gigabit,$6.528 hourly,$4.113 hourly,$4.113 hourly,$1.788800 hourly,$1.960000 hourly,3600 GB                 (4 * 900 GB NVMe SSD),64-bit,AWS
G5 Graphics and Machine Learning GPU Quadruple Extra Large,g5.4xlarge,16 vCPUs,64.0 GiB,G5,Up to 25 Gigabit,$1.624 hourly,$1.02312 hourly,$1.02312 hourly,$0.487200 hourly,$0.487200 hourly,600 GB                 NVMe SSD,64-bit,AWS
M5DN Metal,m5dn.metal,96 vCPUs,384.0 GiB,M5DN,100 Gigabit,$6.528 hourly,$4.113 hourly,$4.113 hourly,$6.528000 hourly,$6.528000 hourly,3600 GB                 (4 * 900 GB NVMe SSD),64-bit,AWS
M5A Large,m5a.large,2 vCPUs,8.0 GiB,M5A,Up to 10 Gigabit,$0.086 hourly,$0.054 hourly,$0.054 hourly,$0.037100 hourly,$0.044300 hourly,EBS only,64-bit,AWS
R5N Large,r5n.large,2 vCPUs,16.0 GiB,R5N,Up to 25 Gigabit,$0.149 hourly,$0.094 hourly,$0.094 hourly,$0.035600 hourly,$0.035600 hourly,EBS only,64-bit,AWS
R3 High-Memory Large,r3.large,2 vCPUs,15.25 GiB,R3,Moderate,$0.166 hourly,$0.105 hourly,$0.105 hourly,$0.042500 hourly,$0.045400 hourly,32 GB                 SSD,64-bit,AWS
M5DN 16xlarge,m5dn.16xlarge,64 vCPUs,256.0 GiB,M5DN,75 Gigabit,$4.352 hourly,$2.742 hourly,$2.742 hourly,$1.094600 hourly,$1.881800 hourly,2400 GB                 (4 * 600 GB NVMe SSD),64-bit,AWS
M6A Eight Extra Large,m6a.8xlarge,32 vCPUs,128.0 GiB,M6A,12.5 Gigabit,$1.3824 hourly,$0.91446 hourly,$0.91446 hourly,$0.571300 hourly,$0.674100 hourly,EBS only,64-bit,AWS
C6A 32xlarge,c6a.32xlarge,128 vCPUs,256.0 GiB,C6A,50 Gigabit,$4.896 hourly,$3.2387 hourly,$3.2387 hourly,$2.176400 hourly,$2.176400 hourly,EBS only,64-bit,AWS
R5N Double Extra Large,r5n.2xlarge,8 vCPUs,64.0 GiB,R5N,Up to 25 Gigabit,$0.596 hourly,$0.375 hourly,$0.375 hourly,$0.153500 hourly,$0.298300 hourly,EBS only,64-bit,AWS
R5DN 16xlarge,r5dn.16xlarge,64 vCPUs,512.0 GiB,R5DN,75 Gigabit,$5.344 hourly,$3.367 hourly,$3.367 hourly,$2.828600 hourly,$3.500600 hourly,2400 GB                 (4 * 600 GB NVMe SSD),64-bit,AWS
M3 General Purpose Double Extra Large,m3.2xlarge,8 vCPUs,30.0 GiB,M3,High,$0.532 hourly,$0.38 hourly,$0.38 hourly,$0.149400 hourly,$0.192500 hourly,160 GB                 (2 * 80 GB SSD),64-bit,AWS
C3 High-CPU Double Extra Large,c3.2xlarge,8 vCPUs,15.0 GiB,C3,High,$0.42 hourly,$0.292 hourly,$0.292 hourly,$0.137700 hourly,$0.150500 hourly,160 GB                 (2 * 80 GB SSD),64-bit,AWS
M5A 12xlarge,m5a.12xlarge,48 vCPUs,192.0 GiB,M5A,10 Gigabit,$2.064 hourly,$1.3 hourly,$1.3 hourly,$0.837600 hourly,$1.027400 hourly,EBS only,64-bit,AWS
R3 High-Memory Extra Large,r3.xlarge,4 vCPUs,30.5 GiB,R3,Moderate,$0.333 hourly,$0.209 hourly,$0.209 hourly,$0.074000 hourly,$0.153000 hourly,80 GB                 SSD,64-bit,AWS
M5N 12xlarge,m5n.12xlarge,48 vCPUs,192.0 GiB,M5N,50 Gigabit,$2.856 hourly,$1.799 hourly,$1.799 hourly,$1.582000 hourly,$2.104900 hourly,EBS only,64-bit,AWS
M6A 48xlarge,m6a.48xlarge,192 vCPUs,768.0 GiB,M6A,50 Gigabit,$8.2944 hourly,$5.48675 hourly,$5.48675 hourly,$3.427900 hourly,$3.427900 hourly,EBS only,64-bit,AWS
M5AD Large,m5ad.large,2 vCPUs,8.0 GiB,M5AD,Up to 10 Gigabit,$0.103 hourly,$0.065 hourly,$0.065 hourly,$0.034000 hourly,$0.040300 hourly,75 GB                 NVMe SSD,64-bit,AWS
M6G Double Extra Large,m6g.2xlarge,8 vCPUs,32.0 GiB,M6G,Up to 10 Gigabit,$0.308 hourly,$0.1932 hourly,$0.1932 hourly,$0.145000 hourly,$0.162600 hourly,EBS only,64-bit,AWS
R5B 24xlarge,r5b.24xlarge,96 vCPUs,768.0 GiB,R5B,25 Gigabit,$7.152 hourly,$4.50576 hourly,$4.50576 hourly,$1.931500 hourly,$2.198100 hourly,EBS only,64-bit,AWS
X2GD Double Extra Large,x2gd.2xlarge,8 vCPUs,128.0 GiB,X2GD,Up to 10 Gigabit,$0.668 hourly,$0.4117 hourly,$0.4117 hourly,$0.200400 hourly,$0.390900 hourly,475 GB                 NVMe SSD,64-bit,AWS
I2 Quadruple Extra Large,i2.4xlarge,16 vCPUs,122.0 GiB,I2,High,$3.41 hourly,$1.696 hourly,$1.696 hourly,$1.023000 hourly,$1.052100 hourly,3200 GB                 (4 * 800 GB SSD),64-bit,AWS
C6A Double Extra Large,c6a.2xlarge,8 vCPUs,16.0 GiB,C6A,Up to 12.5 Gigabit,$0.306 hourly,$0.20242 hourly,$0.20242 hourly,$0.136000 hourly,$0.136000 hourly,EBS only,64-bit,AWS
R5N 16xlarge,r5n.16xlarge,64 vCPUs,512.0 GiB,R5N,75 Gigabit,$4.768 hourly,$3.004 hourly,$3.004 hourly,$1.737800 hourly,$2.698200 hourly,EBS only,64-bit,AWS
R5A 16xlarge,r5a.16xlarge,64 vCPUs,512.0 GiB,R5A,12 Gigabit,$3.616 hourly,$2.278 hourly,$2.278 hourly,$1.140000 hourly,$1.476500 hourly,EBS only,64-bit,AWS
C6GN 12xlarge,c6gn.12xlarge,48 vCPUs,96.0 GiB,C6GN,75 Gigabit,$2.0736 hourly,$1.30876 hourly,$1.30876 hourly,$0.816200 hourly,$0.816200 hourly,EBS only,64-bit,AWS
R5N Eight Extra Large,r5n.8xlarge,32 vCPUs,256.0 GiB,R5N,25 Gigabit,$2.384 hourly,$1.502 hourly,$1.502 hourly,$0.638600 hourly,$1.107700 hourly,EBS only,64-bit,AWS
G4AD Eight Extra Large,g4ad.8xlarge,32 vCPUs,128.0 GiB,G4AD,15 Gigabit,$1.734 hourly,$1.09242 hourly,$1.09242 hourly,$0.602600 hourly,$1.431200 hourly,1200 GB                 NVMe SSD,64-bit,AWS
M5DN Large,m5dn.large,2 vCPUs,8.0 GiB,M5DN,Up to 25 Gigabit,$0.136 hourly,$0.086 hourly,$0.086 hourly,$0.034000 hourly,$0.067900 hourly,75 GB                 NVMe SSD,64-bit,AWS
M6A Large,m6a.large,2 vCPUs,8.0 GiB,M6A,Up to 12.5 Gigabit,$0.0864 hourly,$0.05715 hourly,$0.05715 hourly,$0.035700 hourly,$0.035700 hourly,EBS only,64-bit,AWS
R6GD 12xlarge,r6gd.12xlarge,48 vCPUs,384.0 GiB,R6GD,20 Gigabit,$2.7648 hourly,$1.7418 hourly,$1.7418 hourly,$0.897800 hourly,$0.897800 hourly,2850 GB                 (2 * 1425 GB NVMe SSD),64-bit,AWS
R6G Double Extra Large,r6g.2xlarge,8 vCPUs,64.0 GiB,R6G,Up to 10 Gigabit,$0.4032 hourly,$0.254 hourly,$0.254 hourly,$0.152500 hourly,$0.170900 hourly,EBS only,64-bit,AWS
M3 General Purpose Large,m3.large,2 vCPUs,7.5 GiB,M3,Moderate,$0.133 hourly,$0.095 hourly,$0.095 hourly,$0.030800 hourly,$0.030800 hourly,32 GB                 SSD,64-bit,AWS
C6GD 12xlarge,c6gd.12xlarge,48 vCPUs,96.0 GiB,C6GD,20 Gigabit,$1.8432 hourly,$1.1612 hourly,$1.1612 hourly,$0.816200 hourly,$0.816200 hourly,2850 GB                 (2 * 1425 GB NVMe SSD),64-bit,AWS
R5N Quadruple Extra Large,r5n.4xlarge,16 vCPUs,128.0 GiB,R5N,Up to 25 Gigabit,$1.192 hourly,$0.751 hourly,$0.751 hourly,$0.400400 hourly,$0.594200 hourly,EBS only,64-bit,AWS
M5N Double Extra Large,m5n.2xlarge,8 vCPUs,32.0 GiB,M5N,Up to 25 Gigabit,$0.476 hourly,$0.3 hourly,$0.3 hourly,$0.231300 hourly,$0.363700 hourly,EBS only,64-bit,AWS
R5AD 12xlarge,r5ad.12xlarge,48 vCPUs,384.0 GiB,R5AD,10 Gigabit,$3.144 hourly,$1.981 hourly,$1.981 hourly,$0.855000 hourly,$1.066600 hourly,1800 GB                 (2 * 900 GB NVMe SSD),64-bit,AWS
M5DN 12xlarge,m5dn.12xlarge,48 vCPUs,192.0 GiB,M5DN,50 Gigabit,$3.264 hourly,$2.056 hourly,$2.056 hourly,$1.183100 hourly,$1.893300 hourly,1800 GB                 (2 * 900 GB NVMe SSD),64-bit,AWS
C6GD Double Extra Large,c6gd.2xlarge,8 vCPUs,16.0 GiB,C6GD,Up to 10 Gigabit,$0.3072 hourly,$0.1935 hourly,$0.1935 hourly,$0.136000 hourly,$0.146800 hourly,474 GB                 NVMe SSD,64-bit,AWS
M5A Quadruple Extra Large,m5a.4xlarge,16 vCPUs,64.0 GiB,M5A,Up to 10 Gigabit,$0.688 hourly,$0.433 hourly,$0.433 hourly,$0.313300 hourly,$0.423900 hourly,EBS only,64-bit,AWS
R5AD Double Extra Large,r5ad.2xlarge,8 vCPUs,64.0 GiB,R5AD,Up to 10 Gigabit,$0.524 hourly,$0.33 hourly,$0.33 hourly,$0.158200 hourly,$0.282300 hourly,300 GB                 NVMe SSD,64-bit,AWS
C5A Double Extra Large,c5a.2xlarge,8 vCPUs,16.0 GiB,C5A,Up to 10 Gigabit,$0.308 hourly,$0.194 hourly,$0.194 hourly,$0.140700 hourly,$0.196300 hourly,EBS only,64-bit,AWS
T2 Extra Large,t2.xlarge,4 vCPUs                                                         for a                   5h 24m                   burst,16.0 GiB,T2,Moderate,$0.1856 hourly,$0.115 hourly,$0.115 hourly,$0.057800 hourly,$0.060300 hourly,EBS only,64-bit,AWS
C3 High-CPU Eight Extra Large,c3.8xlarge,32 vCPUs,60.0 GiB,C3,10 Gigabit,$1.68 hourly,$1.168 hourly,$1.168 hourly,$0.566700 hourly,$0.620800 hourly,640 GB                 (2 * 320 GB SSD),64-bit,AWS
M3 General Purpose Medium,m3.medium,1 vCPUs,3.75 GiB,M3,Moderate,$0.067 hourly,$0.048 hourly,$0.048 hourly,$0.006700 hourly,$0.006800 hourly,4 GB                 SSD,64-bit,AWS
G4AD Extra Large,g4ad.xlarge,4 vCPUs,16.0 GiB,G4AD,Up to 10 Gigabit,$0.37853 hourly,$0.23847 hourly,$0.23847 hourly,$0.254200 hourly,$0.265600 hourly,150 GB                 NVMe SSD,64-bit,AWS
R5DN Double Extra Large,r5dn.2xlarge,8 vCPUs,64.0 GiB,R5DN,Up to 25 Gigabit,$0.668 hourly,$0.421 hourly,$0.421 hourly,$0.157900 hourly,$0.298100 hourly,300 GB                 NVMe SSD,64-bit,AWS
INF1 Double Extra Large,inf1.2xlarge,8 vCPUs,16.0 GiB,INF1,Up to 25 Gigabit,$0.362 hourly,$0.228 hourly,$0.228 hourly,$0.108600 hourly,$0.129300 hourly,EBS only,64-bit,AWS
M6A 32xlarge,m6a.32xlarge,128 vCPUs,512.0 GiB,M6A,50 Gigabit,$5.5296 hourly,$3.65783 hourly,$3.65783 hourly,$2.285200 hourly,$2.285200 hourly,EBS only,64-bit,AWS
G5 Graphics and Machine Learning GPU Extra Large,g5.xlarge,4 vCPUs,16.0 GiB,G5,Up to 10 Gigabit,$1.006 hourly,$0.63378 hourly,$0.63378 hourly,$0.301800 hourly,$0.349400 hourly,250 GB                 NVMe SSD,64-bit,AWS
M5A Eight Extra Large,m5a.8xlarge,32 vCPUs,128.0 GiB,M5A,Up to 10 Gigabit,$1.376 hourly,$0.867 hourly,$0.867 hourly,$0.555600 hourly,$0.719700 hourly,EBS only,64-bit,AWS
C3 High-CPU Extra Large,c3.xlarge,4 vCPUs,7.5 GiB,C3,Moderate,$0.21 hourly,$0.146 hourly,$0.146 hourly,$0.061000 hourly,$0.072600 hourly,80 GB                 (2 * 40 GB SSD),64-bit,AWS
R5A Double Extra Large,r5a.2xlarge,8 vCPUs,64.0 GiB,R5A,Up to 10 Gigabit,$0.452 hourly,$0.285 hourly,$0.285 hourly,$0.160200 hourly,$0.236400 hourly,EBS only,64-bit,AWS
T2 Small,t2.small,1 vCPUs                                                         for a                   4h 48m                   burst,2.0 GiB,T2,Low to Moderate,$0.023 hourly,$0.0144 hourly,$0.0144 hourly,$0.006900 hourly,$0.008200 hourly,EBS only,32/64-bit,AWS
C6GN Extra Large,c6gn.xlarge,4 vCPUs,8.0 GiB,C6GN,Up to 25 Gigabit,$0.1728 hourly,$0.10906 hourly,$0.10906 hourly,$0.068000 hourly,$0.068000 hourly,EBS only,64-bit,AWS
C6A 12xlarge,c6a.12xlarge,48 vCPUs,96.0 GiB,C6A,18.75 Gigabit,$1.836 hourly,$1.21451 hourly,$1.21451 hourly,$0.816200 hourly,$0.828400 hourly,EBS only,64-bit,AWS
X2GD Extra Large,x2gd.xlarge,4 vCPUs,64.0 GiB,X2GD,Up to 10 Gigabit,$0.334 hourly,$0.2058 hourly,$0.2058 hourly,$0.100200 hourly,$0.100200 hourly,237 GB                 NVMe SSD,64-bit,AWS
M6G Medium,m6g.medium,1 vCPUs,4.0 GiB,M6G,Up to 10 Gigabit,$0.0385 hourly,$0.0241 hourly,$0.0241 hourly,$0.017900 hourly,$0.017900 hourly,EBS only,64-bit,AWS
M1 General Purpose Extra Large,m1.xlarge,4 vCPUs,15.0 GiB,M1,High,$0.35 hourly,$0.224 hourly,$0.224 hourly,$0.040700 hourly,$0.188300 hourly,1680 GB                 (4 * 420 GB HDD),64-bit,AWS
R5B 12xlarge,r5b.12xlarge,48 vCPUs,384.0 GiB,R5B,10 Gigabit,$3.576 hourly,$2.25288 hourly,$2.25288 hourly,$1.104200 hourly,$2.121300 hourly,EBS only,64-bit,AWS
M5N Extra Large,m5n.xlarge,4 vCPUs,16.0 GiB,M5N,Up to 25 Gigabit,$0.238 hourly,$0.15 hourly,$0.15 hourly,$0.069100 hourly,$0.131600 hourly,EBS only,64-bit,AWS
C5A 12xlarge,c5a.12xlarge,48 vCPUs,96.0 GiB,C5A,12 Gigabit,$1.848 hourly,$1.164 hourly,$1.164 hourly,$0.853800 hourly,$1.011500 hourly,EBS only,64-bit,AWS
M6G 16xlarge,m6g.16xlarge,64 vCPUs,256.0 GiB,M6G,25 Gigabit,$2.464 hourly,$1.5456 hourly,$1.5456 hourly,$1.142600 hourly,$1.191000 hourly,EBS only,64-bit,AWS
