Instance_Name,API_Name,vCPU,Memory,Instance_Family,Network_Performance,On_Demand_Cost,Reserved_1Year_Cost,Reserved_3Year_Cost,Spot_Min_Cost,Spot_Max_Cost,Storage,Architecture,Cloud_Provider
Z1D 6xlarge,z1d.6xlarge,24 vCPUs,192.0 GiB,Z1D,10 Gigabit,$2.232 hourly,$1.406 hourly,$1.406 hourly,$0.669600 hourly,$0.689100 hourly,900 GB                 NVMe SSD,64-bit,AWS
D3 Quadruple Extra Large,d3.4xlarge,16 vCPUs,128.0 GiB,D3,Up to 15 Gigabit,$1.998 hourly,$1.259 hourly,$1.259 hourly,$0.599400 hourly,$0.695300 hourly,23760 GB                 (12 * 1980 GB HDD),64-bit,AWS
M5ZN 12xlarge,m5zn.12xlarge,48 vCPUs,192.0 GiB,M5ZN,100 Gigabit,$3.9641 hourly,$2.4974 hourly,$2.4974 hourly,$0.850000 hourly,$2.625000 hourly,EBS only,64-bit,AWS
M5 General Purpose Quadruple Extra Large,m5d.4xlarge,16 vCPUs,64.0 GiB,M5,Up to 10 Gigabit,$0.904 hourly,$0.57 hourly,$0.57 hourly,$0.317400 hourly,$0.423900 hourly,600 GB                 (2 * 300 GB NVMe SSD),64-bit,AWS
R5 16xlarge,r5.16xlarge,64 vCPUs,512.0 GiB,R5,20 Gigabit,$4.032 hourly,$2.54 hourly,$2.54 hourly,$1.439000 hourly,$1.848900 hourly,EBS only,64-bit,AWS
X2IEZN Eight Extra Large,x2iezn.8xlarge,32 vCPUs,1024.0 GiB,X2IEZN,75 Gigabit,$6.672 hourly,$4.1076 hourly,$4.1076 hourly,$2.001600 hourly,$2.001600 hourly,EBS only,64-bit,AWS
T3 Extra Large,t3.xlarge,4 vCPUs                                                         for a                   9h 36m                   burst,16.0 GiB,T3,Up to 5 Gigabit,$0.1664 hourly,$0.1043 hourly,$0.1043 hourly,$0.049900 hourly,$0.062100 hourly,EBS only,64-bit,AWS
Z1D 12xlarge,z1d.12xlarge,48 vCPUs,384.0 GiB,Z1D,25 Gigabit,$4.464 hourly,$2.812 hourly,$2.812 hourly,$1.339200 hourly,$1.400100 hourly,1800 GB                 (2 * 900 GB NVMe SSD),64-bit,AWS
R4 High-Memory Extra Large,r4.xlarge,4 vCPUs,30.5 GiB,R4,Up to 10 Gigabit,$0.266 hourly,$0.168 hourly,$0.168 hourly,$0.104900 hourly,$0.162600 hourly,EBS only,64-bit,AWS
R6I Eight Extra Large,r6i.8xlarge,32 vCPUs,256.0 GiB,R6I,12.5 Gigabit,$2.016 hourly,$1.33358 hourly,$1.33358 hourly,$0.598500 hourly,$0.721400 hourly,EBS only,64-bit,AWS
R5D Large,r5d.large,2 vCPUs,16.0 GiB,R5D,Up to 10 Gigabit,$0.144 hourly,$0.091 hourly,$0.091 hourly,$0.035600 hourly,$0.036600 hourly,75 GB                 NVMe SSD,64-bit,AWS
M5 General Purpose Quadruple Extra Large,m5.4xlarge,16 vCPUs,64.0 GiB,M5,Up to 10 Gigabit,$0.768 hourly,$0.484 hourly,$0.484 hourly,$0.349300 hourly,$0.376100 hourly,EBS only,64-bit,AWS
R6I 24xlarge,r6i.24xlarge,96 vCPUs,768.0 GiB,R6I,37.5 Gigabit,$6.048 hourly,$4.00075 hourly,$4.00075 hourly,$1.822200 hourly,$2.241100 hourly,EBS only,64-bit,AWS
I3 High I/O Metal,i3.metal,64 vCPUs,512.0 GiB,I3,25 Gigabit,$4.992 hourly,$3.427 hourly,$3.427 hourly,$1.497600 hourly,$1.497600 hourly,15200 GB                 (8 * 1900 GB NVMe SSD),64-bit,AWS
M5ZN Double Extra Large,m5zn.2xlarge,8 vCPUs,32.0 GiB,M5ZN,Up to 25 Gigabit,$0.6607 hourly,$0.4162 hourly,$0.4162 hourly,$0.159200 hourly,$0.227800 hourly,EBS only,64-bit,AWS
C5 High-CPU 12xlarge,c5d.12xlarge,48 vCPUs,96.0 GiB,C5,12 Gigabit,$2.304 hourly,$1.452 hourly,$1.452 hourly,$1.072900 hourly,$1.211100 hourly,1800 GB                 (2 * 900 GB NVMe SSD),64-bit,AWS
P2 General Purpose GPU Extra Large,p2.xlarge,4 vCPUs,61.0 GiB,P2,High,$0.9 hourly,$0.614 hourly,$0.614 hourly,$0.270000 hourly,$0.270000 hourly,EBS only,64-bit,AWS
R4 High-Memory Quadruple Extra Large,r4.4xlarge,16 vCPUs,122.0 GiB,R4,Up to 10 Gigabit,$1.064 hourly,$0.672 hourly,$0.672 hourly,$0.321500 hourly,$0.405600 hourly,EBS only,64-bit,AWS
D3EN Quadruple Extra Large,d3en.4xlarge,16 vCPUs,64.0 GiB,D3EN,25 Gigabit,$2.103 hourly,$1.325 hourly,$1.325 hourly,$0.630900 hourly,$0.660700 hourly,111840 GB                 (8 * 13980 GB HDD),64-bit,AWS
F1 Quadruple Extra Large,f1.4xlarge,16 vCPUs,244.0 GiB,F1,Up to 10 Gigabit,$3.3 hourly,$2.231 hourly,$2.231 hourly,$0.990000 hourly,$1.117800 hourly,940 GB                 NVMe SSD,64-bit,AWS
X2IDN 24xlarge,x2idn.24xlarge,96 vCPUs,1536.0 GiB,X2IDN,75 Gigabit,$10.0035 hourly,$6.15515 hourly,$6.15515 hourly,$3.001100 hourly,$3.001100 hourly,2850 GB                 (2 * 1425 GB NVMe SSD),64-bit,AWS
F1 Double Extra Large,f1.2xlarge,8 vCPUs,122.0 GiB,F1,Up to 10 Gigabit,$1.65 hourly,$1.116 hourly,$1.116 hourly,$0.495000 hourly,$0.495000 hourly,470 GB                 NVMe SSD,64-bit,AWS
M6I 32xlarge,m6i.32xlarge,128 vCPUs,512.0 GiB,M6I,50 Gigabit,$6.144 hourly,$4.06426 hourly,$4.06426 hourly,$2.285200 hourly,$2.887700 hourly,EBS only,64-bit,AWS
M5ZN Large,m5zn.large,2 vCPUs,8.0 GiB,M5ZN,Up to 25 Gigabit,$0.1652 hourly,$0.1041 hourly,$0.1041 hourly,$0.034000 hourly,$0.034600 hourly,EBS only,64-bit,AWS
U-12TB1 Metal,u-12tb1.metal,448 vCPUs,12288.0 GiB,U-12TB1,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,EBS only,64-bit,AWS
X2IEDN 24xlarge,x2iedn.24xlarge,96 vCPUs,3072.0 GiB,X2IEDN,75 Gigabit,$20.007 hourly,$12.31031 hourly,$12.31031 hourly,$7.637400 hourly,$20.007000 hourly,2850 GB                 (2 * 1425 GB NVMe SSD),64-bit,AWS
M5 General Purpose Metal,m5d.metal,96 vCPUs,384.0 GiB,M5,25 Gigabit,$5.424 hourly,$3.417 hourly,$3.417 hourly,$1.632300 hourly,$1.749800 hourly,3600 GB                 (4 * 900 GB NVMe SSD),64-bit,AWS
C4 High-CPU Double Extra Large,c4.2xlarge,8 vCPUs,15.0 GiB,C4,High,$0.398 hourly,$0.252 hourly,$0.252 hourly,$0.182600 hourly,$0.245600 hourly,EBS only,64-bit,AWS
H1 16xlarge,h1.16xlarge,64 vCPUs,256.0 GiB,H1,25 Gigabit,$3.744 hourly,$2.545 hourly,$2.545 hourly,$1.123200 hourly,$1.411900 hourly,16000 GB                 (8 * 2000 GB HDD),64-bit,AWS
M6I 12xlarge,m6i.12xlarge,48 vCPUs,192.0 GiB,M6I,18.75 Gigabit,$2.304 hourly,$1.5241 hourly,$1.5241 hourly,$0.857000 hourly,$1.123200 hourly,EBS only,64-bit,AWS
I3 High I/O Large,i3.large,2 vCPUs,15.25 GiB,I3,Up to 10 Gigabit,$0.156 hourly,$0.107 hourly,$0.107 hourly,$0.046800 hourly,$0.046800 hourly,475 GB                 NVMe SSD,64-bit,AWS
G3 Graphics GPU Eight Extra Large,g3.8xlarge,32 vCPUs,244.0 GiB,G3,10 Gigabit,$2.28 hourly,$1.5561 hourly,$1.5561 hourly,$0.741600 hourly,$0.835600 hourly,EBS only,64-bit,AWS
R5 Quadruple Extra Large,r5.4xlarge,16 vCPUs,128.0 GiB,R5,Up to 10 Gigabit,$1.008 hourly,$0.635 hourly,$0.635 hourly,$0.464200 hourly,$0.513900 hourly,EBS only,64-bit,AWS
M5ZN Extra Large,m5zn.xlarge,4 vCPUs,16.0 GiB,M5ZN,Up to 25 Gigabit,$0.3303 hourly,$0.2081 hourly,$0.2081 hourly,$0.071800 hourly,$0.095100 hourly,EBS only,64-bit,AWS
R5 Large,r5.large,2 vCPUs,16.0 GiB,R5,Up to 10 Gigabit,$0.126 hourly,$0.079 hourly,$0.079 hourly,$0.036200 hourly,$0.083500 hourly,EBS only,64-bit,AWS
M4 General Purpose Double Extra Large,m4.2xlarge,8 vCPUs,32.0 GiB,M4,High,$0.4 hourly,$0.2478 hourly,$0.2478 hourly,$0.176000 hourly,$0.242400 hourly,EBS only,64-bit,AWS
Z1D Large,z1d.large,2 vCPUs,16.0 GiB,Z1D,Up to 10 Gigabit,$0.186 hourly,$0.117 hourly,$0.117 hourly,$0.055800 hourly,$0.055800 hourly,75 GB                 NVMe SSD,64-bit,AWS
C6I Metal,c6i.metal,128 vCPUs,256.0 GiB,C6I,50 Gigabit,$5.44 hourly,$3.59856 hourly,$3.59856 hourly,$2.176400 hourly,$2.176400 hourly,EBS only,64-bit,AWS
I3 High I/O 16xlarge,i3.16xlarge,64 vCPUs,488.0 GiB,I3,25 Gigabit,$4.992 hourly,$3.427 hourly,$3.427 hourly,$1.636500 hourly,$1.867500 hourly,15200 GB                 (8 * 1900 GB NVMe SSD),64-bit,AWS
I3 High I/O Eight Extra Large,i3.8xlarge,32 vCPUs,244.0 GiB,I3,10 Gigabit,$2.496 hourly,$1.714 hourly,$1.714 hourly,$0.748800 hourly,$1.051400 hourly,7600 GB                 (4 * 1900 GB NVMe SSD),64-bit,AWS
C5N Metal,c5n.metal,72 vCPUs,192.0 GiB,C5N,100 Gigabit,$3.888 hourly,$2.449 hourly,$2.449 hourly,$1.165900 hourly,$1.194000 hourly,EBS only,64-bit,AWS
R5D 12xlarge,r5d.12xlarge,48 vCPUs,384.0 GiB,R5D,10 Gigabit,$3.456 hourly,$2.177 hourly,$2.177 hourly,$1.120300 hourly,$1.813400 hourly,1800 GB                 (2 * 900 GB NVMe SSD),64-bit,AWS
I3 High I/O Double Extra Large,i3.2xlarge,8 vCPUs,61.0 GiB,I3,Up to 10 Gigabit,$0.624 hourly,$0.428 hourly,$0.428 hourly,$0.251300 hourly,$0.289000 hourly,1900 GB                 NVMe SSD,64-bit,AWS
G4DN Extra Large,g4dn.xlarge,4 vCPUs,16.0 GiB,G4DN,Up to 25 Gigabit,$0.526 hourly,$0.331 hourly,$0.331 hourly,$0.157800 hourly,$0.157800 hourly,125 GB                 NVMe SSD,64-bit,AWS
G4DN Quadruple Extra Large,g4dn.4xlarge,16 vCPUs,64.0 GiB,G4DN,Up to 25 Gigabit,$1.204 hourly,$0.759 hourly,$0.759 hourly,$0.361200 hourly,$0.361200 hourly,225 GB                 NVMe SSD,64-bit,AWS
P3 High Performance GPU Eight Extra Large,p3.8xlarge,32 vCPUs,244.0 GiB,P3,10 Gigabit,$12.24 hourly,$8.354 hourly,$8.354 hourly,$3.672000 hourly,$3.672000 hourly,EBS only,64-bit,AWS
R5D 16xlarge,r5d.16xlarge,64 vCPUs,512.0 GiB,R5D,20 Gigabit,$4.608 hourly,$2.903 hourly,$2.903 hourly,$1.888300 hourly,$2.501200 hourly,2400 GB                 (4 * 600 GB NVMe SSD),64-bit,AWS
VT1 3xlarge,vt1.3xlarge,12 vCPUs,24.0 GiB,VT1,3.12 Gigabit,$0.65 hourly,$0.4095 hourly,$0.4095 hourly,$0.195000 hourly,$0.195000 hourly,EBS only,64-bit,AWS
T3 Nano,t3.nano,2 vCPUs                                                         for a                   1h 12m                   burst,0.5 GiB,T3,Up to 5 Gigabit,$0.0052 hourly,$0.0033 hourly,$0.0033 hourly,$0.001600 hourly,$0.001600 hourly,EBS only,64-bit,AWS
D3 Extra Large,d3.xlarge,4 vCPUs,32.0 GiB,D3,Up to 15 Gigabit,$0.499 hourly,$0.315 hourly,$0.315 hourly,$0.149700 hourly,$0.149700 hourly,5940 GB                 (3 * 1980 GB HDD),64-bit,AWS
G4DN Double Extra Large,g4dn.2xlarge,8 vCPUs,32.0 GiB,G4DN,Up to 25 Gigabit,$0.752 hourly,$0.474 hourly,$0.474 hourly,$0.225600 hourly,$0.225600 hourly,225 GB                 NVMe SSD,64-bit,AWS
T3 Micro,t3.micro,2 vCPUs                                                         for a                   2h 24m                   burst,1.0 GiB,T3,Up to 5 Gigabit,$0.0104 hourly,$0.0065 hourly,$0.0065 hourly,$0.003100 hourly,$0.003100 hourly,EBS only,64-bit,AWS
U-6TB1 Metal,u-6tb1.metal,448 vCPUs,6144.0 GiB,U-6TB1,100 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable,EBS only,64-bit,AWS
T3 Small,t3.small,2 vCPUs                                                         for a                   4h 48m                   burst,2.0 GiB,T3,Up to 5 Gigabit,$0.0208 hourly,$0.013 hourly,$0.013 hourly,$0.006200 hourly,$0.006300 hourly,EBS only,64-bit,AWS
F1 16xlarge,f1.16xlarge,64 vCPUs,976.0 GiB,F1,25 Gigabit,$13.2 hourly,$8.925 hourly,$8.925 hourly,$3.960000 hourly,$10.059000 hourly,3760 GB                 (4 * 940 GB NVMe SSD),64-bit,AWS
VT1 24xlarge,vt1.24xlarge,96 vCPUs,192.0 GiB,VT1,25 Gigabit,$5.2 hourly,$3.276 hourly,$3.276 hourly,$1.560000 hourly,$1.560000 hourly,EBS only,64-bit,AWS
